code,status,name,latitude,longitude,altitude,installation_height,timezone
TA00840,1,Bè-lagune,6.1482693,1.243491,8.0,2.0,Africa/Abidjan
TA00841,1,Bè-Apédomé,6.1866996,1.2708354,38.0,2.0,Africa/Abidjan
TA00842,1,Prempeh Assembly Hall ,6.6937849,-1.6147538,304.0,2.0,Africa/Accra
TA00843,1,"Kumasi Academy, Kumasi ",6.7087633,-1.5706436,309.0,2.0,Africa/Accra
TA00844,1,Garden City University College,6.7398807,-1.5662673,301.0,2.0,Africa/Accra
TA00845,1,Duase M/A Basic School,6.7321649,-1.5731128,298.0,2.0,Africa/Accra
TA00846,1,Masinde Muliro University Of Science and Technology (MMUST) ,0.2879399,34.7646721,1545.0,2.0,Africa/Nairobi
TA00847,1,WESCO,6.7146555,-1.6234918,300.0,2.0,Africa/Accra
TA00848,1,Segbe-Zanvi,6.1950366,1.1179043,37.0,2.1,Africa/Abidjan
TA00849,1, Agotimé,6.1873414,1.137358,36.0,2.1,Africa/Abidjan
TA00850,1, Lankouvi,6.1771384,1.1303821,33.0,2.1,Africa/Abidjan
TA00851,1,CRETFP Kpalimé,6.9221973,0.6276862,259.0,2.0,Africa/Abidjan
TA00852,1,CHP Kpalimé,6.9119538,0.6261564,245.0,2.0,Africa/Abidjan
TA00853,1,CMS Kpalimé,6.9290544,0.6590141,247.0,2.0,Africa/Abidjan
TA00854,1,GARE Kpalimé,6.9056323,0.6349752,237.0,2.0,Africa/Abidjan
TA00855,1,CMS Klobatémé,6.2456451,1.262588,27.0,2.0,Africa/Abidjan
TA00856,1,Techiman SHS,7.570005,-1.9372141,2.0,2.0,Africa/Accra
TA00857,1, IITA Weather Station Minijbri,12.1442349,8.6662681,446.0,2.0,Africa/Lagos
TA00858,1,  IITA MALAM MADORI,12.5833191,9.8608823,364.0,2.0,Africa/Lagos
TA00859,1,IITA Weather Station Bauchi,10.4695584,9.8302616,595.0,2.0,Africa/Lagos
TA00860,1,   Ajinya Farm Kulukwach,2.7422243,31.458021,634.0,2.0,Africa/Nairobi
TA00861,1,Kongo SHS,10.8116985,-0.6912694,2.0,2.0,Africa/Accra
TA00862,1,Saboba SHS,9.7230007,0.3080331,133.0,2.0,Africa/Accra
TA00863,1,"11B, Waziri Ibrahim Street Ikoyi Lagos State",6.4335738,3.414126,22.0,2.0,Africa/Lagos
TA00864,1,Chileleko school livingstone,-17.8463262,25.9106074,906.0,2.0,Africa/Maputo
TA00865,1, Zambia college of agriculture monze,-16.2854673,27.517921,1143.0,2.0,Africa/Maputo
TA00866,1,Mpika college of Agriculture,-11.7064936,31.4572467,1404.0,2.0,Africa/Maputo
TA00867,1,Mpongwe farmer training centre,-13.5178495,28.1591332,1181.0,2.0,Africa/Maputo
TA00868,1,University of Zambia,-15.3911519,28.3320885,1271.0,2.0,Africa/Maputo
TA00869,1, Horohoro Met,-4.6126536,39.0945338,97.0,2.0,Africa/Nairobi
TA00870,1,"IHS-Oba -Obafemi Owode LGA, Along Kobape Housing",7.024824,3.3889879,88.0,2.0,Africa/Lagos
TA00871,1,Ogun State Water Cooperation board Mainstream Akomoje,7.1918649,3.3383511,54.0,2.0,Africa/Lagos
TA00872,1,  Agbawin-Obi off Sowunmi/Ajana Mokoloki road,6.9133132,3.3800365,63.0,2.0,Africa/Lagos
TA00873,1,Awowo -Ewekoro LGA-Abekuta,7.0137264,3.2894599,67.0,2.0,Africa/Lagos
TA00874,1,Nø6 Femi-Sule Street Lekki Lagos,6.426755,3.4437259,27.0,2.0,Africa/Lagos
TA00875,1,Ikate-Itedo Pices of land at Church-Str lekki,6.4450603,3.4832259,11.0,2.0,Africa/Lagos
TA00876,1,Ulanda girls,-1.0091148,34.5878372,1516.0,2.0,Africa/Nairobi
TA00877,1,Right of way beside Lekki Gardens Apartments Lekki,6.4263549,3.4821123,41.0,2.0,Africa/Lagos
TA00878,1,Pong Tamale SHS,9.6854428,-0.8270072,141.0,2.0,Africa/Accra
TA00879,1, Aggregated farms project site - Nyando,-0.2995551,35.0475667,1277.0,2.0,Africa/Nairobi
TA00880,1,Kapsomboch Primary School,-0.3374127,35.0725656,1583.0,2.0,Africa/Nairobi
TA00881,1,Ile -Oluji permanent school site,7.2408882,4.8661242,265.0,2.0,Africa/Lagos
TA00882,1,Woliso- Bethel,8.5702687,37.9925477,2110.0,2.0,Africa/Nairobi
TA00883,1,Meteo Benin -Head Office,6.3530136,2.3872983,19.0,2.0,Africa/Lagos
TD00001,1,Maseno University,-0.00271,34.596908,1532.0,2.0,Africa/Nairobi
TD00002,1,Moi University,0.289569,35.294804,2220.0,2.0,Africa/Nairobi
TD00003,1,Kayonza OAF Tree Nursery,-1.8875,30.51611,1550.0,2.0,Africa/Maputo
TD00004,1,Kwale KALRO,-4.165991,39.572865,130.0,2.0,Africa/Nairobi
TD00005,1,Kenya Meteorological Department,-1.3018389,36.7602,1801.8,2.0,Africa/Nairobi
TH00001,1,TOT Bridge on the Nelson Mandela Road,-6.821151,39.228417,25.0,0.0,Africa/Nairobi
TH00002,1,Kigogo Sambusa Bridge,-6.8181703,39.2580288,12.0,0.0,Africa/Nairobi
TH00003,1,Ubungo Bridge,-6.7904522,39.2087572,59.0,0.0,Africa/Nairobi
TH00004,1,Froi Railway bridge,0.64254,34.81696,1489.0,8.7,Africa/Nairobi
TH00005,1,Kuywa Bridge,0.620157,34.69988,1628.0,7.1,Africa/Nairobi
TH00006,1,Kipkaren Bridge,0.606742,34.96525,1650.0,6.52,Africa/Nairobi
TH00007,1,Sosian,0.6260897,35.05684,1788.0,7.07,Africa/Nairobi
TH00008,1,Larger Nzoia Bridge,0.7607006,35.06241,1706.0,9.0,Africa/Nairobi
TH00009,1,Koitobos Bridge,0.962477,35.08947,1782.0,8.22,Africa/Nairobi
TH00010,1,Lusumu Bridge,0.306433,34.480556,1280.0,7.1,Africa/Nairobi
TH00011,1,Tandale Uzuri Bridge,-6.789328,39.23085,250.0,300.0,Africa/Nairobi
TH00012,1,Kimara Kilungule Bridge,-6.7945376,39.1783277,654.0,2.0,Africa/Nairobi
TH00013,1,Shungashunga Bridge,-6.803409,39.213727,400.0,4.0,Africa/Nairobi
TH00014,1,Kinyerezi Bridge,-6.859726,39.183669,300.0,3.0,Africa/Nairobi
TH00015,1,Alimaua Bridge,-6.7900464,39.2428237,31.0,3.0,Africa/Nairobi
TH00016,1,Msimbazi bridge,-6.829435,39.23649,80.0,0.0,Africa/Nairobi
TH00017,1,Anloga Junction Dwellers Gold Church,6.688502,-1.597817,0.0,0.0,Africa/Accra
TH00018,1,KNUST Botenical Garden,6.684969,-1.562032,0.0,0.0,Africa/Accra
TH00019,1,Atonsu Allied Oil Fuel Station,6.658347,-1.595184,0.0,0.0,Africa/Accra
TH00020,1,ICON Oil Fuel Station Duase,6.732016,-1.570953,0.0,3.9,Africa/Accra
TH00021,1,Miracle Temple Church of Pentecost,6.67374,-1.592368,0.0,4.76,Africa/Accra
TH00022,1,Fola Osibo Way Water Channel/Catholic Church of Divine Mercy Lekki 1,6.4464478,3.4673019,13.0,3.0,Africa/Lagos
TH00023,1, Ikereku-Arakanga Ogun State Water Cooperation board Mainstream Akomoje,7.1918649,3.3383511,1.5,56.0,Africa/Lagos
